index,prediction
0,36 inch
1,42 centimetre
2,200 centimetre
3,42 centimetre
4,10.50 centimetre
5,90 centimetre
6,10.50 centimetre
7,137.16 centimetre
8,40 centimetre
9,15 centimetre
10,
11,41.6 centimetre
12,10 centimetre
13,4.3 inch
14,4.3 inch
15,
16,100 gram
17,0.01 kilogram
18,
19,2240 volt
20,120 centimetre
21,38 inch
22,15 metre
23,32 centimetre
24,
25,9 centimetre
26,9 centimetre
27,320 gram
28,9.5 kilogram
29,2.62 pound
30,9 centimetre
31,90 millimetre
32,5.8 inch
33,5.8 inch
34,5.8 inch
35,3 pound
36,194.3 centimetre
37,8 watt
38,8 watt
39,90 centimetre
40,47.2 inch
41,9 inch
42,244 centimetre
43,122 centimetre
44,60 centimetre
45,14 centimetre
46,14 centimetre
47,5.8 inch
48,47 inch
49,35 inch
50,35 inch
51,200 millimetre
52,200 millimetre
53,19 centimetre
54,7.56 inch
55,96.52 centimetre
56,
57,90 centimetre
58,47.2 inch
59,67 watt
60,20 volt
61,48 gram
62,100 millimetre
63,100 millimetre
64,280 millimetre
65,3.7 volt
66,
67,
68,4.2 inch
69,4.2 inch
70,4.2 inch
71,23 centimetre
72,9.1 inch
73,23 centimetre
74,1500 watt
75,1500 watt
76,12 centimetre
77,8 centimetre
78,240 gram
79,50 centimetre
80,2500 gram
81,243 pound
82,11.1 pound
83,10 ounce
84,98 centimetre
85,98 centimetre
86,39 inch
87,
88,
89,
90,60 centimetre
91,90.7 kilogram
92,500 millimetre
93,23.95 inch
94,
95,14 centimetre
96,14 centimetre
97,9.6 volt
98,3.8 centimetre
99,11 centimetre
100,37 inch
101,2 fluid ounce
102,0 watt
103,62 centimetre
104,69 centimetre
105,7.5 centimetre
106,16 centimetre
107,73 centimetre
108,8 ounce
109,40 centimetre
110,8 centimetre
111,10 ounce
112,650 watt
113,650 watt
114,500 watt
115,500 watt
116,30 gram
117,223 gram
118,10 centimetre
119,10 centimetre
120,100 gram
121,31 centimetre
122,250 gram
123,660 pound
124,1 kilogram
125,12 volt
126,12 volt
127,191 centimetre
128,90 centimetre
129,7.8 pound
130,40 centimetre
131,65 centimetre
132,25.6 inch
133,65 centimetre
134,50 pound
135,20.0 centimetre
136,2.9 centimetre
137,26 centimetre
138,29.95 centimetre
139,100 millimetre
140,11.5 millimetre
141,14 centimetre
142,83.8 centimetre
143,83.8 centimetre
144,10 centimetre
145,90 centimetre
146,10 centimetre
147,
148,50 centimetre
149,50 centimetre
150,104 gram
151,74.93 centimetre
152,20 centimetre
153,20 centimetre
154,10 centimetre
155,5 centimetre
156,35 millimetre
157,74 inch
158,30.3 inch
159,2.31 pound
160,13 centimetre
161,32 ounce
162,82 centimetre
163,76 inch
164,250 gram
165,24 volt
166,
167,6 kilogram
168,10.5 centimetre
169,10.5 centimetre
170,
171,33.1 inch
172,31 ounce
173,3.0 centimetre
174,20.0 centimetre
175,14 centimetre
176,
177,0.79 inch
178,20 pound
179,3.0 centimetre
180,3.0 centimetre
181,908 gram
182,74.5 centimetre
183,1800 watt
184,
185,16 ounce
186,5.08 centimetre
187,5.08 centimetre
188,7.0 centimetre
189,7.0 centimetre
190,0.35 ounce
191,61 centimetre
192,61 centimetre
193,6.2 pound
194,127.5 centimetre
195,27.4 centimetre
196,33.3 centimetre
197,40 pound
198,33 gram
199,453 gram
200,37.5 centimetre
201,37.5 centimetre
202,37.5 centimetre
203,13.2 inch
204,13.2 inch
205,1700 watt
206,1700 watt
207,27.94 centimetre
208,226 gram
209,11.8 kilogram
210,85.7 millimetre
211,312 gram
212,128 centimetre
213,5 volt
214,60 centimetre
215,151.5 centimetre
216,12 volt
217,12 volt
218,12 volt
219,
220,2.7 centimetre
221,8.1 inch
222,43.18 centimetre
223,50.7 pound
224,90 centimetre
225,90 centimetre
226,19.5 centimetre
227,4 ounce
228,16.8 kilogram
229,1800 watt
230,120 volt
231,10 centimetre
232,364 gram
233,70 centimetre
234,70 centimetre
235,42.1 inch
236,72 centimetre
237,183 centimetre
238,183 centimetre
239,31.5 centimetre
240,60 centimetre
241,180 centimetre
242,7 centimetre
243,7 centimetre
244,8.5 centimetre
245,7.6 centimetre
246,15.1 centimetre
247,78 centimetre
248,60 centimetre
249,5.9 centimetre
250,11.7 centimetre
251,65 centimetre
252,120.5 gram
253,40 metre
254,35 centimetre
255,16 centimetre
256,16 centimetre
257,16 centimetre
258,76 centimetre
259,76 centimetre
260,135 pound
261,135 pound
262,80 centimetre
263,41 inch
264,39 inch
265,6.5 centimetre
266,6.5 centimetre
267,25 centimetre
268,20 centimetre
269,8 centimetre
270,15 centimetre
271,7 centimetre
272,15 centimetre
273,500 gram
274,4.0 centimetre
275,4.0 centimetre
276,8 ounce
277,6.72 watt
278,12 volt
279,5.0 centimetre
280,21 centimetre
281,109 gram
282,5.8 inch
283,5.8 inch
284,340 gram
285,16.5 centimetre
286,27 centimetre
287,380 volt
288,8 inch
289,8 inch
290,200 gram
291,39 centimetre
292,9 centimetre
293,120 kilogram
294,6.5 centimetre
295,4.4 inch
296,44.88 inch
297,63 inch
298,6 inch
299,6 inch
300,
301,220 volt
302,
303,
304,1.2 centimetre
305,160 millimetre
306,500 gram
307,58.4 centimetre
308,45 pound
309,2.2 centimetre
310,4.5 centimetre
311,80 centimetre
312,3.75 pound
313,170 gram
314,5.0 centimetre
315,21 centimetre
316,5.0 centimetre
317,6 centimetre
318,15.2 centimetre
319,1.7 kilogram
320,7.5 centimetre
321,7.5 centimetre
322,27.94 centimetre
323,
324,1800 watt
325,11.5 centimetre
326,15.5 centimetre
327,7 centimetre
328,7 centimetre
329,7 centimetre
330,6 ounce
331,
332,15 centimetre
333,40 centimetre
334,120 watt
335,120 watt
336,40 metre
